x,y,id,location_code,location,gene,gene_ensembl_id,cell_line,nRoi,Avg_Intens,Avg_Area,Avg_Std,Avg_Mode,Avg_Feret,Avg_Median,Avg_Skewness,Avg_Kurtosis
-3.480738,4.18593,63704_1152_B2_1,19,Centrosome,CETN3,ENSG00000153140,RH-30 , 17 , 4.766 , 6526.8235 , 6.6807 , 0 , 240.5465 , 2.7647 , 3.3828 , 23.6287
-3.4087057,3.6647506,63596_1132_C5_3,19,Centrosome,ARL3,ENSG00000138175,U-2 OS , 17 , 37.2492 , 6954.2941 , 27.2707 , 11.0588 , 270.4376 , 31.1176 , 1.5586 , 3.9019
-3.3531373,3.3811684,63596_1132_C5_2,19,Centrosome,ARL3,ENSG00000138175,U-2 OS , 13 , 40.5622 , 7648.3077 , 26.8724 , 28.0769 , 297.8829 , 35 , 1.5321 , 4.0332
-3.1521945,3.9194663,63496_1401_E8_2,19,Centrosome,ZNF766,ENSG00000196214,RH-30 , 27 , 5.963 , 7242.2963 , 8.4455 , 0 , 270.4333 , 3.7407 , 3.7862 , 26.1396
-3.6137617,4.152456,63496_1401_E8_1,19,Centrosome,ZNF766,ENSG00000196214,RH-30 , 23 , 6.1397 , 7427.5217 , 8.5825 , 0 , 264.0514 , 4 , 3.7887 , 29.5407
-3.5259938,3.9975078,63368_1236_H4_2,19,Centrosome,UBE2Q1,ENSG00000160714,U-2 OS , 13 , 20.5454 , 6624.6923 , 21.0645 , 0.4615 , 267.632 , 15.3077 , 2.66 , 11.9617
-3.6277688,4.052169,63368_1236_H4_1,19,Centrosome,UBE2Q1,ENSG00000160714,U-2 OS , 12 , 20.8851 , 7234.5833 , 18.8822 , 0 , 289.1245 , 16.5833 , 2.1918 , 8.8613
-3.4951081,3.9316218,52612_782_D10_7,19,Centrosome,ADGRB2,ENSG00000121753,U-2 OS , 12 , 7.7074 , 7707.3333 , 9.4851 , 0 , 299.2533 , 5.5 , 3.5171 , 27.4832
-3.5379293,4.026433,52217_775_D10_2,19,Centrosome,VPS25,ENSG00000131475,A-431 , 20 , 4.878 , 7532.35 , 6.0048 , 0 , 271.7992 , 2.85 , 1.8778 , 5.6195
-3.67402,4.1144266,35854_569_A5_2,19,Centrosome,TRIM2,ENSG00000109654,U-251 MG , 14 , 5.0418 , 5650 , 6.2744 , 0 , 222.7543 , 3.3571 , 2.88 , 21.2194
