x,y,id,location_code,location,gene,gene_ensembl_id,cell_line,nRoi,Avg_Intens,Avg_Area,Avg_Std,Avg_Mode,Avg_Feret,Avg_Median,Avg_Skewness,Avg_Kurtosis
6.7865605,-1.2503666,63716_1152_F2_2,23,Mitochondria,GLRX5,ENSG00000182512,RH-30 , 30 , 18.8845 , 6214.8667 , 24.5513 , 0.6333 , 228.3224 , 10.0333 , 2.6889 , 9.9661
6.7120237,-1.2468355,63716_1152_F2_1,23,Mitochondria,GLRX5,ENSG00000182512,RH-30 , 22 , 24.455 , 6539.6364 , 29.7491 , 0.3636 , 252.437 , 13.7273 , 2.4557 , 8.2281
5.615411,-0.7075895,63685_1356_A11_1,23,Mitochondria,ZNF19,ENSG00000157429,MCF7 , 11 , 10.4787 , 7994 , 11.044 , 0 , 282.1559 , 7.4545 , 2.0293 , 7.1119
5.877606,-0.9160328,6366_1124_H11_3,23,Mitochondria,POLRMT,ENSG00000099821,HEK 293 , 29 , 32.0075 , 7162.7931 , 27.1002 , 12.1724 , 275.8495 , 23.6207 , 1.9494 , 5.5799
5.4187317,-0.38730574,63685_1352_C7_2,23,Mitochondria,ZNF19,ENSG00000157429,U-2 OS , 9 , 15.7487 , 7428.8889 , 16.1331 , 0.8889 , 297.3075 , 11.2222 , 2.433 , 9.4673
5.5670385,-0.5467318,63685_1352_C7_1,23,Mitochondria,ZNF19,ENSG00000157429,U-2 OS , 17 , 12.6492 , 6474.3529 , 12.498 , 0 , 256.3158 , 9.5882 , 2.1155 , 7.7777
3.2968388,-0.2924444,63684_1254_E4_2,23,Mitochondria,TFAM,ENSG00000108064,CACO-2 , 32 , 3.6775 , 7119.9375 , 11.6833 , 0 , 266.2824 , 0.125 , 8.2847 , 103.8496
3.1729417,-0.18423498,63684_1254_E4_1,23,Mitochondria,TFAM,ENSG00000108064,CACO-2 , 31 , 2.9023 , 6904.1935 , 8.0661 , 0 , 252.2997 , 0.03226 , 6.8369 , 88.014
7.4161015,-1.4159673,63684_1156_F1_2,23,Mitochondria,TFAM,ENSG00000108064,U-2 OS , 7 , 14.7226 , 8737.1429 , 29.3712 , 0 , 333.4042 , 5.4286 , 3.976 , 19.1803
7.363981,-1.6073443,63684_1156_F1_1,23,Mitochondria,TFAM,ENSG00000108064,U-2 OS , 8 , 30.5019 , 8573.625 , 39.9677 , 0 , 324.0631 , 16.125 , 3.1955 , 15.0396
3.02647,-3.80961,63684_1152_F1_3,23,Mitochondria,TFAM,ENSG00000108064,RH-30 , 31 , 8.9133 , 5690.6452 , 20.9624 , 0 , 208.3328 , 2.2581 , 4.7665 , 29.6704
3.110103,-3.764608,63684_1152_F1_2,23,Mitochondria,TFAM,ENSG00000108064,RH-30 , 38 , 13.0702 , 5886.1579 , 26.1797 , 0 , 220.5082 , 3.8421 , 4.4784 , 27.4838
7.0459714,-0.9306481,6366_37_C12_2,23,Mitochondria,POLRMT,ENSG00000099821,U-251 MG , 8 , 25.7753 , 6896 , 22.3277 , 0 , 251.6691 , 19.875 , 1.6461 , 3.9096
7.189552,-0.83910483,6366_37_C12_1,23,Mitochondria,POLRMT,ENSG00000099821,U-251 MG , 10 , 30.639 , 7382.3 , 23.0927 , 10.2 , 264.6489 , 25.3 , 1.3874 , 3.0004
6.4931726,-0.67924815,6366_35_C12_2,23,Mitochondria,POLRMT,ENSG00000099821,U-2 OS , 11 , 25.2176 , 7867.2727 , 26.7274 , 0 , 297.9591 , 17 , 2.4623 , 11.8024
6.7897153,-0.794661,6366_35_C12_1,23,Mitochondria,POLRMT,ENSG00000099821,U-2 OS , 12 , 24.5137 , 7441.8333 , 26.7844 , 1 , 284.5146 , 16.3333 , 2.5887 , 9.8765
